name,review_count,rating,coordinates,location,price,Area
Atwater's - Catonsville,189,4.0,"{'latitude': 39.27111, 'longitude': -76.73442}","{'address1': '815 Frederick Rd', 'address2': '', 'address3': '', 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['815 Frederick Rd', 'Catonsville, MD 21228']}",$,Catonsville
Caffe di Roma,53,4.0,"{'latitude': 39.2733157, 'longitude': -76.754301}","{'address1': '1719 Edmondson Ave', 'address2': '', 'address3': '', 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['1719 Edmondson Ave', 'Catonsville, MD 21228']}",$,Catonsville
Georgia Grace Cafe,106,4.5,"{'latitude': 39.26797, 'longitude': -76.79495}","{'address1': '8006 Main St', 'address2': '', 'address3': None, 'city': 'Ellicott City', 'zip_code': '21043', 'country': 'US', 'state': 'MD', 'display_address': ['8006 Main St', 'Ellicott City, MD 21043']}",$$,Catonsville
Starbucks,47,3.5,"{'latitude': 39.283384, 'longitude': -76.754702}","{'address1': '856 N Rolling Rd', 'address2': None, 'address3': None, 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['856 N Rolling Rd', 'Catonsville, MD 21228']}",$$,Catonsville
Old Mill Cafe,32,4.5,"{'latitude': 39.2678, 'longitude': -76.79318}","{'address1': '4 Frederick Rd', 'address2': None, 'address3': '', 'city': 'Ellicott City', 'zip_code': '21043', 'country': 'US', 'state': 'MD', 'display_address': ['4 Frederick Rd', 'Ellicott City, MD 21043']}",$,Catonsville
"Kora Lee's ""A Gourmet Dessert Cafe""",22,4.5,"{'latitude': 39.2752606278949, 'longitude': -76.7178037780837}","{'address1': '6421 Frederick Rd', 'address2': '', 'address3': None, 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['6421 Frederick Rd', 'Catonsville, MD 21228']}",$$,Catonsville
OCA Mocha,11,5.0,"{'latitude': 39.2483075823832, 'longitude': -76.6939198225737}","{'address1': '5410 East Dr', 'address2': '', 'address3': None, 'city': 'Arbutus', 'zip_code': '21227', 'country': 'US', 'state': 'MD', 'display_address': ['5410 East Dr', 'Arbutus, MD 21227']}",$,Catonsville
Farmhouse Greens,111,4.0,"{'latitude': 39.2728098, 'longitude': -76.7327792}","{'address1': '730 Frederick Rd', 'address2': 'Unit 1', 'address3': '', 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['730 Frederick Rd', 'Unit 1', 'Catonsville, MD 21228']}",$,Catonsville
Artifact Coffee,510,4.0,"{'latitude': 39.3323352622044, 'longitude': -76.641398876826}","{'address1': '1500 Union Ave', 'address2': 'Ste 114', 'address3': '', 'city': 'Baltimore', 'zip_code': '21211', 'country': 'US', 'state': 'MD', 'display_address': ['1500 Union Ave', 'Ste 114', 'Baltimore, MD 21211']}",$$,Catonsville
Little Market Café,147,4.5,"{'latitude': 39.2668926866013, 'longitude': -76.7995656043057}","{'address1': '3731 Hamilton St', 'address2': '', 'address3': '', 'city': 'Ellicott City', 'zip_code': '21043', 'country': 'US', 'state': 'MD', 'display_address': ['3731 Hamilton St', 'Ellicott City, MD 21043']}",$,Catonsville
Taste Tea,40,4.0,"{'latitude': 39.24907, 'longitude': -76.6935}","{'address1': '5403 East Dr', 'address2': 'Unit 1/2', 'address3': None, 'city': 'Arbutus', 'zip_code': '21227', 'country': 'US', 'state': 'MD', 'display_address': ['5403 East Dr', 'Unit 1/2', 'Arbutus, MD 21227']}",$,Catonsville
The Breadery,64,4.5,"{'latitude': 39.27377, 'longitude': -76.77867}","{'address1': '418 Oella Ave', 'address2': '', 'address3': '', 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['418 Oella Ave', 'Catonsville, MD 21228']}",$$,Catonsville
Foobao,30,4.0,"{'latitude': 39.28673683, 'longitude': -76.76412367}","{'address1': '6600 Baltimore National Pike', 'address2': '', 'address3': None, 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['6600 Baltimore National Pike', 'Catonsville, MD 21228']}",$,Catonsville
Cafe Su,18,4.0,"{'latitude': 39.2808598279953, 'longitude': -76.8173993378878}","{'address1': '3301 N Ridge Rd', 'address2': '', 'address3': None, 'city': 'Ellicott City', 'zip_code': '21043', 'country': 'US', 'state': 'MD', 'display_address': ['3301 N Ridge Rd', 'Ellicott City, MD 21043']}",$,Catonsville
Matcha Time Cafe,216,4.5,"{'latitude': 39.2670313, 'longitude': -76.7996449}","{'address1': '3785 Hamilton St', 'address2': '', 'address3': None, 'city': 'Ellicott City', 'zip_code': '21043', 'country': 'US', 'state': 'MD', 'display_address': ['3785 Hamilton St', 'Ellicott City, MD 21043']}",$$,Catonsville
The Crepe Escape,113,4.0,"{'latitude': 39.28213, 'longitude': -76.755253}","{'address1': '724 N Rolling Rd', 'address2': '', 'address3': None, 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['724 N Rolling Rd', 'Catonsville, MD 21228']}",$,Catonsville
Tous Les Jours,296,4.0,"{'latitude': 39.278494, 'longitude': -76.8347723}","{'address1': '9380 Baltimore National Pike', 'address2': 'Ste 111', 'address3': '', 'city': 'Ellicott City', 'zip_code': '21042', 'country': 'US', 'state': 'MD', 'display_address': ['9380 Baltimore National Pike', 'Ste 111', 'Ellicott City, MD 21042']}",$$,Catonsville
Dough Joe’s,81,4.0,"{'latitude': 39.2010819801632, 'longitude': -76.6546693966695}","{'address1': '501 S Camp Meade Rd', 'address2': '', 'address3': None, 'city': 'Linthicum Heights', 'zip_code': '21090', 'country': 'US', 'state': 'MD', 'display_address': ['501 S Camp Meade Rd', 'Linthicum Heights, MD 21090']}",$,Catonsville
Duesenberg's American Cafe and Grill,289,4.0,"{'latitude': 39.27109, 'longitude': -76.73396}","{'address1': '10 Mellor Ave', 'address2': '', 'address3': '', 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['10 Mellor Ave', 'Catonsville, MD 21228']}",$$,Catonsville
Syriana Cafe & Gallery,107,4.5,"{'latitude': 39.2675602219615, 'longitude': -76.7975201457739}","{'address1': '8180 Main St', 'address2': '', 'address3': None, 'city': 'Ellicott City', 'zip_code': '21043', 'country': 'US', 'state': 'MD', 'display_address': ['8180 Main St', 'Ellicott City, MD 21043']}",$$,Catonsville
The Pottery Stop and Coffee Shop,30,4.5,"{'latitude': 39.2773895263672, 'longitude': -76.8245697021484}","{'address1': '9050 Baltimore National Pike', 'address2': '', 'address3': '', 'city': 'Ellicott City', 'zip_code': '21042', 'country': 'US', 'state': 'MD', 'display_address': ['9050 Baltimore National Pike', 'Ellicott City, MD 21042']}",$$,Catonsville
Cafe EZ - Ellicott City,510,4.5,"{'latitude': 39.28087, 'longitude': -76.81824}","{'address1': '3290 N Ridge Rd', 'address2': '', 'address3': '', 'city': 'Ellicott City', 'zip_code': '21043', 'country': 'US', 'state': 'MD', 'display_address': ['3290 N Ridge Rd', 'Ellicott City, MD 21043']}",$$,Catonsville
7-Eleven,1,5.0,"{'latitude': 39.2731536, 'longitude': -76.7526651}","{'address1': '1611 Edmondson Ave', 'address2': None, 'address3': None, 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['1611 Edmondson Ave', 'Catonsville, MD 21228']}",$,Catonsville
State Fare,207,3.5,"{'latitude': 39.27192, 'longitude': -76.73321}","{'address1': '748 Frederick Rd', 'address2': '', 'address3': None, 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['748 Frederick Rd', 'Catonsville, MD 21228']}",$$,Catonsville
Starbucks,41,4.0,"{'latitude': 39.276945, 'longitude': -76.8309215}","{'address1': '9251 Baltimore National Pike', 'address2': '', 'address3': '', 'city': 'Ellicott City', 'zip_code': '21042', 'country': 'US', 'state': 'MD', 'display_address': ['9251 Baltimore National Pike', 'Ellicott City, MD 21042']}",$$,Catonsville
Delimanjoo,15,4.5,"{'latitude': 39.2773857116699, 'longitude': -76.8173446655273}","{'address1': '8801 Baltimore National Pike', 'address2': '', 'address3': None, 'city': 'Ellicott City', 'zip_code': '21043', 'country': 'US', 'state': 'MD', 'display_address': ['8801 Baltimore National Pike', 'Ellicott City, MD 21043']}",$,Catonsville
SugarBakers Cakes,158,3.5,"{'latitude': 39.2719, 'longitude': -76.73342}","{'address1': '752 Frederick Rd', 'address2': None, 'address3': '', 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['752 Frederick Rd', 'Catonsville, MD 21228']}",$$,Catonsville
Dunkin',21,2.5,"{'latitude': 39.2731399536133, 'longitude': -76.7279891967773}","{'address1': '580 Frederick Rd', 'address2': '', 'address3': '', 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['580 Frederick Rd', 'Catonsville, MD 21228']}",$,Catonsville
Starbucks,5,2.5,"{'latitude': 39.254264, 'longitude': -76.713233}","{'address1': '1000 Hilltop Cir', 'address2': '', 'address3': 'UMBC - University Center', 'city': 'Baltimore', 'zip_code': '21250', 'country': 'US', 'state': 'MD', 'display_address': ['1000 Hilltop Cir', 'UMBC - University Center', 'Baltimore, MD 21250']}",$$,Catonsville
Paradise Cafe,53,3.5,"{'latitude': 39.275183151914, 'longitude': -76.7181559576721}","{'address1': '6429 Frederick Rd', 'address2': None, 'address3': None, 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['6429 Frederick Rd', 'Catonsville, MD 21228']}",$,Catonsville
McDonald's,33,2.0,"{'latitude': 39.2726239967596, 'longitude': -76.7275902628899}","{'address1': '501 Frederick Rd', 'address2': None, 'address3': None, 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['501 Frederick Rd', 'Catonsville, MD 21228']}",$,Catonsville
Café on the Grove,3,4.5,"{'latitude': 39.2654423, 'longitude': -76.7245834394139}","{'address1': '6 Hickory St', 'address2': '', 'address3': 'Spring Grove Hospital Ctr', 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['6 Hickory St', 'Spring Grove Hospital Ctr', 'Catonsville, MD 21228']}",$,Catonsville
Bakery Express,61,4.0,"{'latitude': 39.229434967041, 'longitude': -76.6806716918945}","{'address1': '4711 Hollins Ferry Rd', 'address2': 'Ste 100', 'address3': None, 'city': 'Halethorpe', 'zip_code': '21227', 'country': 'US', 'state': 'MD', 'display_address': ['4711 Hollins Ferry Rd', 'Ste 100', 'Halethorpe, MD 21227']}",$,Catonsville
Scittino's Italian Market Place,143,4.0,"{'latitude': 39.27339, 'longitude': -76.75322}","{'address1': '1701 Edmondson Ave', 'address2': '', 'address3': '', 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['1701 Edmondson Ave', 'Catonsville, MD 21228']}",$$,Catonsville
Starbucks,45,3.0,"{'latitude': 39.214379, 'longitude': -76.802817}","{'address1': '5715 Richards Valley Rd', 'address2': None, 'address3': None, 'city': 'Ellicott City', 'zip_code': '21043', 'country': 'US', 'state': 'MD', 'display_address': ['5715 Richards Valley Rd', 'Ellicott City, MD 21043']}",$$,Catonsville
Tea-Do Ellicott City,96,4.0,"{'latitude': 39.2777867951788, 'longitude': -76.8251511664863}","{'address1': '3355 St Johns Ln', 'address2': 'Ste C', 'address3': None, 'city': 'Ellicott City', 'zip_code': '21042', 'country': 'US', 'state': 'MD', 'display_address': ['3355 St Johns Ln', 'Ste C', 'Ellicott City, MD 21042']}",$,Catonsville
McDonald's,11,2.0,"{'latitude': 39.2885949481586, 'longitude': -76.7275734886061}","{'address1': '5637 Baltimore National Pike', 'address2': None, 'address3': None, 'city': 'Baltimore', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['5637 Baltimore National Pike', 'Baltimore, MD 21228']}",$,Catonsville
Lotte Plaza,56,4.0,"{'latitude': 39.2880712104207, 'longitude': -76.7645473309252}","{'address1': '6600 Baltimore National Pike', 'address2': '', 'address3': '', 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['6600 Baltimore National Pike', 'Catonsville, MD 21228']}",$,Catonsville
Dunkin',8,3.0,"{'latitude': 39.286047, 'longitude': -76.7626592}","{'address1': '6516 Baltimore National Pike', 'address2': '', 'address3': None, 'city': 'Catonsville', 'zip_code': '21228', 'country': 'US', 'state': 'MD', 'display_address': ['6516 Baltimore National Pike', 'Catonsville, MD 21228']}",$,Catonsville
Village Square Café,104,4.0,"{'latitude': 39.355582, 'longitude': -76.6464236719665}","{'address1': '66 Village Sq', 'address2': '', 'address3': 'Village of Cross Keys', 'city': 'Baltimore', 'zip_code': '21210', 'country': 'US', 'state': 'MD', 'display_address': ['66 Village Sq', 'Village of Cross Keys', 'Baltimore, MD 21210']}",$$,Catonsville
Wawa,12,3.0,"{'latitude': 39.333179, 'longitude': -76.759059}","{'address1': '2845 N Rolling Rd', 'address2': None, 'address3': None, 'city': 'Windsor Mill', 'zip_code': '21244', 'country': 'US', 'state': 'MD', 'display_address': ['2845 N Rolling Rd', 'Windsor Mill, MD 21244']}",$,Catonsville
7-Eleven,3,3.0,"{'latitude': 39.2938614405871, 'longitude': -76.7303877911199}","{'address1': '1114 Ingleside Ave', 'address2': None, 'address3': None, 'city': 'Baltimore', 'zip_code': '21207', 'country': 'US', 'state': 'MD', 'display_address': ['1114 Ingleside Ave', 'Baltimore, MD 21207']}",$,Catonsville
